movie_id,title,description,director_id,rank,year,run_time,vote,rating,revenue,meta_score
00105553-54e8-4c86-9c37-1fbcd91b5169,The Karate Kid,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",aca342b5-dee9-44cb-94ca-93da425be88f,725,2010,140,127983,6.2,176.59,61
00b6c25c-4507-4a7d-960d-841bb91702b5,X: First Class,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.",a09af5e2-531b-4395-afe1-00cd39d2a5ed,206,2011,132,550011,7.8,146.41,65
0101c8c1-5734-4da6-b03e-e4cf5a731a52,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",c11e5399-a91b-4cf9-a138-c690f3163a6a,300,2007,158,400682,8.1,40.22,92
011aaaab-f62a-4c9b-b0fd-ce55860f32c7,Sleeping Beauty,"A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.",eee6155e-4536-420c-b78a-767a517783e4,649,2011,101,27006,5.3,0.03,
01383c42-18a4-4bf7-ac54-35b45a63854f,This Is 40,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",b66b5db1-77db-427a-804f-8e6239ec0570,892,2012,134,108156,6.2,67.52,
019bc4ab-4a90-4632-bd78-030fd983d97e,Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",a807dec6-2c09-42b7-b263-7c71e2bca96b,217,2014,136,542362,7.8,259.75,70
025184ab-91a9-4d43-b333-3390d998fa98,Detour,"A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma.",f0207d48-abbc-4f9f-82c0-3c7fb4afdd18,934,2016,97,2205,6.3,,46
02600d0a-daac-4f75-b628-feaa6a383573,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",04e43d78-eb77-46ae-a786-c26e2d3b7439,195,2011,140,355722,8.2,13.65,71
03308984-9bf1-4400-a907-a9c59e1934fd,Closed Circuit,A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,5fa76d23-c618-430b-8c6c-17bd8c9046d3,710,2013,96,18437,6.2,5.73,50
0370cf8a-5c3b-46e1-8f5a-ad2fe0b4f32b,Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,5dc3f79d-9378-4e96-943e-80883762ebf2,570,2016,98,68654,6.5,41.01,55
03909f17-a656-4276-93ba-ef06532e4658,Escape Plan,"When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",6e8647ff-aa48-4f1a-8068-fcd8100ae957,677,2013,115,188004,6.7,25.12,49
03ae4649-6aca-4034-8aaa-9ec8e76cd98b,Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",58ab4ea5-e80d-4316-8d2e-708765418e4c,548,2010,108,324898,6.5,334.19,53
03c34a03-a97f-4121-9b5f-33e6ad1bc289,Revolutionary Road,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,9a4769e3-0561-4b25-919e-0c3d8b772cb3,460,2008,119,159736,7.3,22.88,69
048aaf35-8ffc-4fca-84e3-2ac2304e6a1d,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",294804ce-d086-4295-924e-29667f60a423,404,2010,95,410607,7.7,251.5,72
04a0ae1c-28e2-4436-a503-ac2b9e866c99,Wakefield,"A man's nervous breakdown causes him to leave his wife and live in his attic for several months.",f6cf9eff-4025-4f8d-96d7-ae18046c562a,69,2016,106,291,7.5,0.01,61
04dca410-a64d-40a3-9e95-b5cefc3468eb,The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",8dc7760e-803c-424c-b30c-78d320642f24,477,2006,137,278103,8.5,11.28,89
056a2f6e-c87f-47fc-8cbe-44cf4b77d4ec,Bridge to Terabithia,"A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.",61418afd-b6a5-49c5-ba38-e3363465cf33,913,2007,96,117297,7.2,82.23,74
057056a9-d387-4ac7-a6cc-a3386dd5e09f,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",61292ee3-8063-4848-8d5a-976d69fd50b5,992,2007,165,102697,8.5,1.2,42
0593a182-89e8-4924-927b-3c65ed37533b,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",4721aabe-d5ad-462a-949a-fb2d5f5aa400,426,2008,166,485075,7.8,127.49,70
05975488-8551-47a6-9982-e5357471ff8f,The Girl with All the Gifts,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,774744cf-55df-4372-acd9-6c58e527fbbf,210,2016,111,23713,6.7,,67
05d8c150-c5c2-43c2-9eba-068d355ce563,Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,aa5e2812-f3c2-4bc0-a18b-969420e32077,537,2012,130,250811,7,58.68,50
065bc98e-237d-468b-ac76-e91674fa8332,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,02f2142b-1fc3-414f-b0a9-d8e3caeecb3b,6,2016,103,56036,6.1,45.13,42
06968d0a-7b5e-4d21-8bf7-34adae5dd204,17 Again,"Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.",d0fbb847-dcd6-4ed2-8d9f-587527e5d8ee,923,2009,102,152808,6.4,64.15,48
0775880d-7030-4221-947f-9d820f764b65,A Good Year,"A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",cd01e9e3-9dce-47fe-8101-721050a180ec,531,2006,117,74674,6.9,7.46,47
